flare_id,active_region,start_time,peak_time,end_time,flare_class,peak_flux_wm2,integrated_flux_jm2,satellite,data_provenance
GOES_AR11389_201201030056,AR-11389,2012-01-03T00:56:00.000,2012-01-03T01:14:00.000,2012-01-03T01:41:00.000,C1.9,1.8823529411764705e-06,0.0033882352941176468,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11390_201201050812,AR-11390,2012-01-05T08:12:00.000,2012-01-05T08:30:00.000,2012-01-05T08:57:00.000,Quiet,7.529411764705883e-07,0.001355294117647059,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11392_201201070559,AR-11392,2012-01-07T05:59:01.000,2012-01-07T06:17:01.000,2012-01-07T06:44:01.000,C3.1,3.058823529411765e-06,0.005505882352941177,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11388_201201080817,AR-11388,2012-01-08T08:17:01.000,2012-01-08T08:35:01.000,2012-01-08T09:02:01.000,C5.8,5.764705882352941e-06,0.010376470588235294,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11394_201201081750,AR-11394,2012-01-08T17:50:00.000,2012-01-08T18:08:00.000,2012-01-08T18:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11393_201201100743,AR-11393,2012-01-10T07:43:01.000,2012-01-10T08:01:01.000,2012-01-10T08:28:01.000,C1.2,1.1764705882352942e-06,0.0021176470588235297,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11395_201201101750,AR-11395,2012-01-10T17:50:00.000,2012-01-10T18:08:00.000,2012-01-10T18:35:00.000,C3.1,3.058823529411765e-06,0.005505882352941177,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11395_201201120648,AR-11395,2012-01-12T06:48:01.000,2012-01-12T07:06:01.000,2012-01-12T07:33:01.000,C1.8,1.7647058823529412e-06,0.003176470588235294,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11403_201201180711,AR-11403,2012-01-18T07:11:01.000,2012-01-18T07:29:01.000,2012-01-18T07:56:01.000,C1.0,1e-06,0.0018,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11405_201201191552,AR-11405,2012-01-19T15:52:38.000,2012-01-19T16:10:38.000,2012-01-19T16:37:38.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11409_201201231750,AR-11409,2012-01-23T17:50:00.000,2012-01-23T18:08:00.000,2012-01-23T18:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11401_201201240247,AR-11401,2012-01-24T02:47:31.000,2012-01-24T03:05:31.000,2012-01-24T03:32:31.000,C1.6,1.6470588235294118e-06,0.0029647058823529414,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11413_201202021744,AR-11413,2012-02-02T17:44:01.000,2012-02-02T18:02:01.000,2012-02-02T18:29:01.000,Quiet,5.882352941176471e-07,0.0010588235294117648,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11413_201202040005,AR-11413,2012-02-04T00:05:00.000,2012-02-04T00:23:00.000,2012-02-04T00:50:00.000,C1.0,1.0470588235294118e-06,0.0018847058823529413,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11410_201202051837,AR-11410,2012-02-05T18:37:01.000,2012-02-05T18:55:01.000,2012-02-05T19:22:01.000,Quiet,2.823529411764706e-07,0.000508235294117647,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11413_201202090549,AR-11413,2012-02-09T05:49:59.000,2012-02-09T06:07:59.000,2012-02-09T06:34:59.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11422_201202250401,AR-11422,2012-02-25T04:01:01.000,2012-02-25T04:19:01.000,2012-02-25T04:46:01.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11429_201203061831,AR-11429,2012-03-06T18:31:01.000,2012-03-06T18:49:01.000,2012-03-06T19:16:01.000,M2.5,2.470588235294117e-05,0.04447058823529411,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11429_201203080614,AR-11429,2012-03-08T06:14:00.000,2012-03-08T06:32:00.000,2012-03-08T06:59:00.000,X6.4,0.000635294117647,1.1435294117646,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11428_201203100212,AR-11428,2012-03-10T02:12:00.000,2012-03-10T02:30:00.000,2012-03-10T02:57:00.000,C2.0,2e-06,0.0036,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11428_201203110340,AR-11428,2012-03-11T03:40:00.000,2012-03-11T03:58:00.000,2012-03-11T04:25:00.000,C6.0,6e-06,0.0108,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11430_201203140745,AR-11430,2012-03-14T07:45:00.000,2012-03-14T08:03:00.000,2012-03-14T08:30:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11429_201203142331,AR-11429,2012-03-14T23:31:00.000,2012-03-14T23:49:00.000,2012-03-15T00:16:00.000,M9.3,9.294117647058824e-05,0.16729411764705884,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11429_201203152000,AR-11429,2012-03-15T20:00:01.000,2012-03-15T20:18:01.000,2012-03-15T20:45:01.000,C1.3,1.2941176470588237e-06,0.002329411764705883,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11434_201203180229,AR-11434,2012-03-18T02:29:01.000,2012-03-18T02:47:01.000,2012-03-18T03:14:01.000,M1.5,1.5294117647058822e-05,0.02752941176470588,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11436_201203200549,AR-11436,2012-03-20T05:49:59.000,2012-03-20T06:07:59.000,2012-03-20T06:34:59.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11445_201203310407,AR-11445,2012-03-31T04:07:08.000,2012-03-31T04:25:08.000,2012-03-31T04:52:08.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11453_201204041750,AR-11453,2012-04-04T17:50:00.000,2012-04-04T18:08:00.000,2012-04-04T18:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11458_201204170657,AR-11458,2012-04-17T06:57:59.000,2012-04-17T07:15:59.000,2012-04-17T07:42:59.000,Quiet,5.764705882352938e-07,0.001037647058823529,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11459_201204190004,AR-11459,2012-04-19T00:04:17.000,2012-04-19T00:22:17.000,2012-04-19T00:49:17.000,Quiet,8.235294117647059e-07,0.0014823529411764707,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
GOES_AR11464_201204220550,AR-11464,2012-04-22T05:50:00.000,2012-04-22T06:08:00.000,2012-04-22T06:35:00.000,Quiet,1e-09,1.8000000000000001e-06,SDO / GOES-15/16,"SDOBenchmark (Bolzern & Aerni, FHNW) / NOAA SWPC"
