sequence_id,active_region,t_obs_end,frame_0,frame_1,frame_2,frame_3,target_window_start,target_window_end,binary_target_MX_24_48h,multiclass_target,log10_peak_flux
SEQ_AR-11388_201201070217,AR-11388,2012-01-07T02:17:01+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11388_T000_20120106142701.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11388_T001_20120106212701.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11388_T002_20120107005701.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11388_T003_20120107021701.fits,2012-01-08T02:17:01+00:00,2012-01-09T02:17:01+00:00,0,1,-5.2392
SEQ_AR-11389_201201011856,AR-11389,2012-01-01T18:56:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11389_T000_20120101070600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11389_T001_20120101140600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11389_T002_20120101173600.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11389_T003_20120101185600.fits,2012-01-02T18:56:00+00:00,2012-01-03T18:56:00+00:00,0,1,-5.7253
SEQ_AR-11390_201201040212,AR-11390,2012-01-04T02:12:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11390_T000_20120103142200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11390_T001_20120103212200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11390_T002_20120104005200.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11390_T003_20120104021200.fits,2012-01-05T02:12:00+00:00,2012-01-06T02:12:00+00:00,0,0,-6.1232
SEQ_AR-11392_201201052359,AR-11392,2012-01-05T23:59:01+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11392_T000_20120105120901.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11392_T001_20120105190901.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11392_T002_20120105223901.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11392_T003_20120105235901.fits,2012-01-06T23:59:01+00:00,2012-01-07T23:59:01+00:00,0,1,-5.5144
SEQ_AR-11393_201201090143,AR-11393,2012-01-09T01:43:01+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11393_T000_20120108135301.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11393_T001_20120108205301.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11393_T002_20120109002301.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11393_T003_20120109014301.fits,2012-01-10T01:43:01+00:00,2012-01-11T01:43:01+00:00,0,1,-5.9294
SEQ_AR-11394_201201071150,AR-11394,2012-01-07T11:50:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11394_T000_20120107000000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11394_T001_20120107070000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11394_T002_20120107103000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11394_T003_20120107115000.fits,2012-01-08T11:50:00+00:00,2012-01-09T11:50:00+00:00,0,0,-8.0
SEQ_AR-11395_201201091150,AR-11395,2012-01-09T11:50:00+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T000_20120109000000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T001_20120109070000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T002_20120109103000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T003_20120109115000.fits,2012-01-10T11:50:00+00:00,2012-01-11T11:50:00+00:00,0,1,-5.5144
SEQ_AR-11395_201201101258,AR-11395,2012-01-10T12:58:01+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T001_20120109070000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T002_20120109103000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T003_20120109115000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T000_20120110125801.fits,2012-01-11T12:58:01+00:00,2012-01-12T12:58:01+00:00,0,1,-5.7533
SEQ_AR-11395_201201101958,AR-11395,2012-01-10T19:58:01+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T002_20120109103000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T003_20120109115000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T000_20120110125801.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T001_20120110195801.fits,2012-01-11T19:58:01+00:00,2012-01-12T19:58:01+00:00,0,1,-5.7533
SEQ_AR-11395_201201102328,AR-11395,2012-01-10T23:28:01+00:00,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T003_20120109115000.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T000_20120110125801.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T001_20120110195801.fits,C:\Users\aarus\Desktop\solar-flare-warning-system\data\full_resolution_real\suit_AR-11395_T002_20120110232801.fits,2012-01-11T23:28:01+00:00,2012-01-12T23:28:01+00:00,0,1,-5.7533
